index,word,translation,tag
000001,ik,I,VNW
000002,je,you,VNW
000003,het,it,VNW
000004,de,the,LID
000005,dat,Which,VNW
000006,is,is,WW
000007,niet,not,BW
000008,een,a,LID
000009,en,and,VG
000010,wat,what,VNW
000011,van,from,VZ
000012,we,we,VNW
000013,ze,she,VNW
000014,hij,he,VNW
000015,in,in,VZ
000016,maar,but,VG
000017,er,there,VNW
000018,op,on,VZ
000019,zijn,to be,WW
000020,te,to,VZ
000021,me,me,VNW
000022,die,That,VNW
000023,heb,have got,WW
000024,met,with,VZ
000025,voor,in front of,VZ
000026,als,as,VG
000027,ben,am,WW
000028,was,used to be,WW
000029,u,you,VNW
000030,dit,this,VNW
000031,hier,here,VNW
000032,naar,to,VZ
000033,jij,you,VNW
000034,om,to,VZ
000035,mijn,my,VNW
000036,weet,know,WW
000037,dan,than,BW
000038,wel,well,BW
000039,kan,can,WW
000040,nog,yet,BW
000041,wil,want,WW
000042,geen,no,VNW
000043,moet,must,WW
000044,zo,so,BW
000045,aan,On,VZ
000046,hem,him,VNW
000047,heeft,has,WW
000048,goed,good,ADJ
000049,hebben,to have,WW
000050,ja,Yes,TSW
000051,hoe,how,BW
000052,waar,true,VNW
000053,nu,now,BW
000054,nee,No,TSW
000055,ga,ga,WW
000056,haar,her,VNW
000057,uit,from,VZ
000058,bent,are,WW
000059,ook,also,BW
000060,over,about,VZ
000061,doen,to do,WW
000062,gaan,to go,WW
000063,kom,bowl,WW
000064,mij,me,VNW
000065,daar,over there,VNW
000066,zou,would,WW
000067,bij,Bee,VZ
000068,al,already,BW
000069,of,or,VG
000070,ons,U.S,VNW
000071,jullie,you,VNW
000072,gaat,goes,WW
000073,iets,something,VNW
000074,hebt,have,WW
000075,zal,shall,WW
000076,waarom,why,BW
000077,had,had,WW
000078,meer,Lake,VNW
000079,laat,late,WW
000080,doe,do,WW
000081,wie,Who,VNW
000082,moeten,should,WW
000083,alles,everything,VNW
000084,deze,this one,VNW
000085,kunnen,can,WW
000086,toch,However,BW
000087,jou,you,VNW
000088,'t,'t,VNW
000089,echt,for real,ADJ
000090,denk,think,WW
000091,zien,see,WW
000092,m'n,my,VNW
000093,weg,away,BW
000094,alleen,only,BW
000095,nooit,never,BW
000096,door,through,VZ
000097,mee,along,VZ
000098,dus,So,BW
000099,even,for a bit,BW
000100,man,man,N
000101,terug,back,BW
000102,komt,coming,WW
000103,eens,once,BW
000104,misschien,perhaps,BW
000105,laten,leave,WW
000106,nou,Well,BW
000107,zei,said,WW
000108,iemand,someone,VNW
000109,niets,nothing,VNW
000110,hou,love,WW
000111,veel,a lot of,VNW
000112,komen,come,WW
000113,tot,until,VZ
000114,weer,weather,BW
000115,zeg,say,WW
000116,'n,one,N
000117,zeggen,say,WW
000118,worden,turn into,WW
000119,mensen,people,N
000120,toen,then,VG
000121,zit,is,WW
000122,mag,allowed,WW
000123,nodig,required,ADJ
000124,kijk,look,WW
000125,onze,our,VNW
000126,tegen,against,VZ
000127,wordt,is becoming,WW
000128,leven,life,N
000129,heel,very,ADJ
000130,net,just,BW
000131,twee,two,TW
000132,weten,know,WW
000133,altijd,always,BW
000134,maken,to make,WW
000135,gewoon,just,ADJ
000136,wij,we,VNW
000137,dood,death,ADJ
000138,uw,your,VNW
000139,tijd,time,N
000140,gedaan,done,WW
000141,af,down,VZ
000142,okÈ,Okay,N
000143,zie,see,WW
000144,geef,give,WW
000145,zeker,certainly,ADJ
000146,omdat,because,VG
000147,doet,is doing,WW
000148,dag,day,N
000149,wacht,wait,WW
000150,allemaal,all of them,BW
000151,z'n,his,VNW
000152,anders,different,BW
000153,dacht,thought,WW
000154,kunt,can,WW
000155,huis,House,N
000156,willen,want,WW
000157,wilt,To,WW
000158,vrouw,woman,N
000159,keer,time,N
000160,zitten,to sit,WW
000161,jaar,year,N
000162,hun,their,VNW
000163,zij,she,VNW
000164,erg,very,ADJ
000165,zoals,as,VG
000166,niemand,nobody,VNW
000167,gezien,seen,WW
000168,jouw,your,VNW
000169,beter,better,ADJ
000170,dank,thanks,WW
000171,zich,herself,VNW
000172,iedereen,everybody,VNW
000173,binnen,within,VZ
000174,vind,find,WW
000175,andere,Others,ADJ
000176,wilde,wanted to,WW
000177,vader,father,N
000178,neem,take,WW
000179,staat,state,WW
000180,werk,work,N
000181,maak,making,WW
000182,waren,goods,WW
000183,geld,money,N
000184,spijt,regret,WW
000185,vast,fixed,ADJ
000186,zullen,will,WW
000187,niks,nothing,VNW
000188,bedankt,thanks,WW
000189,praten,to talk,WW
000190,kon,could,WW
000191,genoeg,enough,BW
000192,lang,long,ADJ
000193,hele,all,ADJ
000194,vinden,find,WW
000195,na,after,VZ
000196,wist,knew,WW
000197,mooi,beautiful,ADJ
000198,toe,to,VZ
000199,helpen,help out,WW
000200,graag,gladly,BW
000201,zegt,says,WW
000202,ziet,sees,WW
000203,elkaar,each other,VNW
000204,blijf,stay,WW
000205,hÈ,Hey,BW
000206,moeder,mother,N
000207,klaar,ready,ADJ
000208,maakt,makes,WW
000209,natuurlijk,of course,ADJ
000210,helemaal,all the way,BW
000211,leuk,fun,ADJ
000212,alle,all,VNW
000213,bedoel,mean,WW
000214,blijven,stay,WW
000215,zonder,without,VZ
000216,geweest,been,WW
000217,gek,crazy,ADJ
000218,luister,listen,WW
000219,sorry,Sorry,SPEC
000220,houden,to keep,WW
000221,drie,three,TW
000222,werd,became,WW
000223,krijgen,to get,WW
000224,dingen,things,N
000225,kijken,look,WW
000226,ging,went,WW
000227,ÈÈn,A,TW
000228,hoor,hear,WW
000229,hallo,Hello,SPEC
000230,idee,idea,N
000231,geven,to give,WW
000232,kwam,came,WW
000233,steeds,ever,BW
000234,achter,behind,VZ
000235,grote,great,ADJ
000236,aan_het,to the,VZ
000237,onder,below,VZ
000238,moest,had to,WW
000239,eerste,first,TW
000240,bang,anxious,ADJ
000241,god,God,SPEC
000242,vriend,friend,N
000243,snel,fast,ADJ
000244,ooit,ever,BW
000245,zo'n,Sun,VNW
000246,vertellen,to tell,WW
000247,alsjeblieft,please,WW
000248,wanneer,when,BW
000249,zag,saw,WW
000250,goede,well,ADJ
000251,naam,name,N
000252,zelf,self,BW
000253,vragen,ask,WW
000254,vraag,ask,WW
000255,beetje,bit,N
000256,lijkt,seems,WW
000257,gebeurd,happened,WW
000258,ken,ken,WW
000259,paar,couple,N
000260,staan,stand,WW
000261,zorgen,to care,N
000262,deed,did,WW
000263,eten,food,WW
000264,laatste,last,ADJ
000265,nieuwe,new ones,ADJ
000266,morgen,tomorrow,BW
000267,nemen,take,WW
000268,gezegd,said,WW
000269,want,because,VG
000270,hadden,had,WW
000271,kinderen,children,N
000272,geloof,faith,WW
000273,zelfs,even,BW
000274,heen,away,VZ
000275,thuis,home,BW
000276,denken,to think,WW
000277,enige,some,VNW
000278,denkt,think,WW
000279,'m,'m,VNW
000280,jongen,boy,N
000281,halen,get,WW
000282,vertel,tell,WW
000283,samen,together,BW
000284,eerst,first,BW
000285,krijg,receive,WW
000286,hoop,hope,WW
000287,kun,you,WW
000288,buiten,Outside,VZ
000289,horen,to hear,WW
000290,auto,car,N
000291,vandaag,today,BW
000292,eigen,own,ADJ
000293,wereld,world,N
000294,meneer,Mr.,N
000295,bijna,almost,BW
000296,soms,sometimes,BW
000297,houdt,keeps,WW
000298,zat,was sitting,WW
000299,geeft,gives,WW
000300,geweldig,awesome,ADJ
000301,rustig,quiet,ADJ
000302,gelijk,equal,ADJ
000303,wachten,to wait,WW
000304,geleden,ago,BW
000305,uur,hour,N
000306,meisje,girl,N
000307,probleem,problem,N
000308,open,Open,ADJ
000309,gevonden,found it,WW
000310,gebeurt,happens,WW
000311,verder,further,ADJ
000312,zouden,would,WW
000313,pas,only,BW
000314,krijgt,gets,WW
000315,mannen,men,N
000316,heet,hot,WW
000317,jongens,boys,N
000318,o,O,TSW
000319,gehad,had,WW
000320,begrijp,understandable,WW
000321,precies,exactly,ADJ
000322,verdomme,damn,N
000323,elke,each,VNW
000324,vrienden,friends,N
000325,voel,feel,WW
000326,daarom,therefore,BW
000327,zet,move,WW
000328,kant,side,N
000329,alsof,as if,VG
000330,gehoord,heard,WW
000331,probeer,try,WW
000332,eigenlijk,actually,ADJ
000333,vroeg,early,WW
000334,vindt,finds,WW
000335,wou,wanted,WW
000336,volgens,according to,VZ
000337,haal,get,WW
000338,werken,to work,WW
000339,pak,business suit,WW
000340,best,best,ADJ
000341,beste,Best,ADJ
000342,vanavond,tonight,BW
000343,hen,them,VNW
000344,volgende,next one,WW
000345,kind,child,N
000346,dagen,days,N
000347,gemaakt,made,WW
000348,ie,ie,VNW
000349,ben.,m.,WW
000350,eruit,get out,BW
000351,word,become,WW
000352,ligt,lies,WW
000353,ding,thing,N
000354,bel,bell,WW
000355,stop,Stop,WW
000356,zoeken,Search,WW
000357,hoeveel,How much,TW
000358,blijft,continues,WW
000359,vermoord,murdered,WW
000360,blij,happy,ADJ
000361,hoofd,head,N
000362,spreken,to speak,WW
000363,werkt,works,WW
000364,familie,family,N
000365,slecht,bad,ADJ
000366,politie,law enforcement,N
000367,ergens,somewhere,VNW
000368,geloven,to believe,WW
000369,vond,found,WW
000370,welke,which,VNW
000371,vijf,five,TW
000372,jezelf,yourself,VNW
000373,zoon,son,N
000374,kans,opportunity,N
000375,help,Help,WW
000376,oude,old,ADJ
000377,niet_eens,not even,BW
000378,brengen,bring,WW
000379,tussen,between,VZ
000380,ogen,eyes,N
000381,lekker,yummy,ADJ
