,word,translation,meaning
0,aak,barge,"{'Noun': ['a flatbottom boat for carrying heavy loads (especially on canals'], 'Verb': [""push one's way"", 'transport by barge on a body of water']}"
1,aal,eel,"{'Noun': ['the fatty flesh of eel; an elongate fish found in fresh water in Europe and America; large eels are usually smoked or pickled', 'voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins']}"
2,aan,On,"{'Adjective': ['in operation or operational', '(of events'], 'Adverb': ['with a forward motion', 'indicates continuity or persistence or concentration', 'in a state required for something to function or be effective']}"
3,aap,monkey,"{'Noun': ['any of various long-tailed primates (excluding the prosimians', 'one who is playfully mischievous'], 'Verb': ['play around with or alter or falsify, usually secretively or dishonestly', 'do random, unplanned work or activities or spend time idly']}"
4,aar,spike,"{'Noun': ['a transient variation in voltage or current', 'sports equipment consisting of a sharp point on the sole of a shoe worn by athletes', 'fruiting spike of a cereal plant especially corn', '(botany', 'a sharp rise followed by a sharp decline', ""a very high narrow heel on women's shoes"", 'each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves', 'a sharp-pointed projection along the top of a fence or wall (or a dinosaur', 'a long, thin sharp-pointed implement (wood or metal', 'any holding device consisting of a rigid, sharp-pointed object', 'a large stout nail'], 'Verb': ['stand in the way of', 'pierce with a sharp stake or point', 'secure with spikes', 'bring forth a spike or spikes', 'add alcohol to (beverages', 'manifest a sharp increase']}"
5,aas,bait,"{'Noun': ['anything that serves as an enticement', 'something used to lure fish or other animals into danger so they can be trapped or killed'], 'Verb': ['harass with persistent criticism or carping', 'lure, entice, or entrap with bait', 'attack with dogs or set dogs upon']}"
6,ab,ab,"{'Noun': [""a bachelor's degree in arts and sciences"", 'the eleventh month of the civil year; the fifth month of the ecclesiastical year in the Jewish calendar (in July and August', 'the muscles of the abdomen', 'the blood group whose red cells carry both the A and B antigens']}"
7,abc,ABC,{'Noun': ['the elementary stages of any subject (usually plural']}
8,abt,abbot,{'Noun': ['the superior of an abbey of monks']}
9,ace,ace,"{'Noun': ['the smallest whole number or a numeral representing this number', 'one of four playing cards in a deck having a single pip on its face', 'someone who is dazzlingly skilled in any field', 'proteolytic enzyme that converts angiotensin I into angiotensin II', 'a major strategic headquarters of NATO; safeguards an area extending from Norway to Turkey', 'a serve that the receiver is unable to reach'], 'Verb': ['succeed at easily', 'score an ace against', 'play (a hole', 'serve an ace against (someone'], 'Adjective': ['of the highest quality']}"
10,ach,ah,
11,act,act,"{'Noun': ['a legal document codifying the result of deliberations of a committee or society or legislative body', 'something that people do or cause to happen', 'a subdivision of a play or opera or ballet', 'a short performance that is part of a longer program', 'a manifestation of insincerity'], 'Verb': ['perform an action, or work out or perform (an action', 'behave in a certain manner; show a certain behavior; conduct or comport oneself', 'play a role or part', ""discharge one's duties"", 'pretend to have certain qualities or state of mind', 'be suitable for theatrical performance', 'have an effect or outcome; often the one desired or expected', 'be engaged in an activity, often for no particular purpose other than pleasure', 'behave unnaturally or affectedly', 'perform on a stage or theater']}"
12,ad,ad,"{'Noun': ['a public promotion of some product or service'], 'Adverb': ['in the Christian era; used before dates after the supposed year Christ was born']}"
13,af,off,"{'Verb': ['kill intentionally and with premeditation'], 'Adjective': ['not in operation or operational', 'below a satisfactory level', '(of events', 'in an unpalatable state', 'not performing or scheduled for duties'], 'Adverb': [""from a particular thing or place or position (`forth' is obsolete"", 'at a distance in space or time', 'or away', 'or away', 'no longer on or in contact or attached']}"
14,aft,aft,"{'Adjective': ['(nautical, aeronautical'], 'Adverb': ['at or near or toward the stern of a ship or tail of an airplane']}"
15,age,age,"{'Noun': ['how long something has existed', 'an era of history having some distinctive feature', 'a time of life (usually defined in years', 'a prolonged period of time', 'a late time of life'], 'Verb': ['begin to seem older; get older', 'grow old or older', 'make older']}"
16,ah,Ah,
17,aha,aha,
18,ai,ai,"{'Noun': ['an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders', 'the branch of computer science that deal with writing computer programs that can solve problems creatively', 'a sloth that has three long claws on each forefoot and each hindfoot', 'the introduction of semen into the oviduct or uterus by some means other than sexual intercourse']}"
