,Lemma,POS,meaning_en
22746,aagje,SPEC,
23082,aanbevolen,SPEC,
23084,aanbid,SPEC,
23582,aaneen,BW,
23643,aangaat,SPEC,
23677,aangebroken,SPEC,
23695,aangedreven,SPEC,
23723,aangekomen,SPEC,
23733,aangelegd,SPEC,
23797,aangeschoten,ADJ,
23800,aangeschoten,N,
23802,aangeslagen,ADJ,
23805,aangeslagen,N,
23825,aangetekend,ADJ,
23827,aangetekend,WW,
23873,aangewezen,ADJ,
23875,aangewezen,N,
23889,aangezien,VG,
24481,aanlaat,SPEC,
25235,aanschouwt,SPEC,
25582,aanstootgevend,ADJ,
25587,aanstootgevend,WW,
25674,aantekeningen,SPEC,
25793,aanvaard,SPEC,
26983,aardbevingen,SPEC,
27018,aardbewoners,SPEC,
27354,aardse,SPEC,
27599,aartsengelen,SPEC,
27662,aarzelend,SPEC,
27700,aasgieren,SPEC,
28085,abdis,SPEC,
28721,abraham,SPEC,
28763,abrahams,SPEC,
29247,academici,SPEC,
29651,accurate,SPEC,
29731,aces,SPEC,
29784,ach,BW,
29786,ach,SPEC,
29789,ach,TSW,
30038,achtendertig,TW,
30060,achtennegentig,SPEC,
30062,achtennegentig,TW,
30071,achtentachtig,TW,
30073,achtentwintig,TW,
30082,achtenveertig,TW,
30085,achtenvijftig,SPEC,
30087,achtenvijftig,TW,
30089,achtenzestig,TW,
30096,achtenzeventig,TW,
30098,achter,BW,
30100,achter,VZ,
30138,achteraan,BW,
30329,achtereen,BW,
30335,achtereenvolgens,BW,
30345,achterelkaar,BW,
30385,achtergestelde,SPEC,
30483,achterhaalden,SPEC,
30553,achterin,BW,
30555,achterin,SPEC,
30604,achterkom,ADJ,
30606,achterkom,WW,
30743,achterna,BW,
30806,achterom,BW,
30815,achterop,BW,
30827,achterover,BW,
30976,achterstevoren,BW,
31098,achtervolg,SPEC,
31178,achterwege,BW,
31308,achtste,TW,
31328,achttiende,TW,
31335,achttienduizend,TW,
31338,achttienhonderd,TW,
31675,acteerlessen,SPEC,
32181,acute,SPEC,
32201,ad,SPEC,
32807,adembenemend,ADJ,
32813,adembenemend,WW,
33660,adopteer,SPEC,
34435,advocaten,SPEC,
35294,afdelingshoofden,SPEC,
35639,afgedwaald,SPEC,
35659,afgekeurd,SPEC,
35683,afgelast,SPEC,
35704,afgeleefd,ADJ,
35707,afgeleefd,WW,
35713,afgelegen,ADJ,
35718,afgelegen,N,
35806,afgeschreven,SPEC,
35868,afgevaardigden,SPEC,
35894,afgewezen,SPEC,
35949,afghanen,SPEC,
36107,afhaaleten,SPEC,
36391,afkick,SPEC,
37517,afrikanen,SPEC,
38028,afschriften,SPEC,
38438,afspraakjes,SPEC,
39023,afterparty,SPEC,
39556,afwachtte,SPEC,
40995,agreement,SPEC,
42023,ais,SPEC,
42288,aken,SPEC,
44143,alcoholisten,SPEC,
44256,aldaar,BW,
44341,aldoor,BW,
44394,aldus,BW,
44481,aleer,VG,
44574,alen,SPEC,
45717,algemene,SPEC,
45820,algoritmes,SPEC,
45864,alhier,BW,
45866,alhoewel,VG,
46274,aliens,SPEC,
46620,alla,SPEC,
46815,allebei,TW,
46818,allebei,VNW,
47065,allemaal,BW,
47067,allemaal,SPEC,
47194,allengs,BW,
47260,allerbeste,SPEC,
47377,allerhande,BW,
47379,allerhande,SPEC,
47407,allerhoogste,SPEC,
47424,allerlaatst,ADJ,
47427,allerlaatst,WW,
47443,allerliefst,ADJ,
47449,allerliefst,BW,
47451,allerliefst,TW,
47453,allerliefst,WW,
47637,allesbehalve,BW,
47659,allesomvattend,ADJ,
47661,allesomvattend,WW,
