,verb,translation,english_pos
0,doortellen,continue counting,[]
1,manen,mane,"['n', 'n']"
2,knevelen,gag,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
3,misbruiken,abuse,"['n', 'n', 'n', 'v', 'v', 'v', 'v']"
4,elimineren,to eliminate,[]
5,beëindigen,to end,[]
6,legen,empty,"['n', 'v', 'v', 'v', 'v', 'v', 'a', 's', 's', 's']"
7,uitsterven,become extinct,[]
8,onderbroken,interrupted,"['v', 'v', 'v', 'v', 's', 's']"
9,ontevreden,dissatisfied,"['v', 's']"
10,jatten,swipe,"['n', 'v', 'v']"
11,giechelen,giggle,"['n', 'v']"
12,verbluffen,astonish,['v']
13,waarnemen,perceive,"['v', 'v']"
14,voeden,to feed,[]
15,opdelen,divide,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
16,ven,ven,[]
17,salueren,salute,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
18,aanvullen,supplement,"['n', 'n', 'n', 'v', 'v', 'v']"
19,twijfelen,doubt,"['n', 'n', 'v', 'v']"
20,narennen,run after,[]
21,durven,to dare,[]
22,stranden,beaches,"['n', 'v']"
23,ben,am,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
24,insluiten,Enclose,"['v', 'v', 'v', 'v']"
25,schateren,Cackling,"['v', 'v', 'v']"
26,uitsturen,send out,[]
27,gezichtsvermogen,eyesight,['n']
28,samenwonen,live together,[]
29,uitwisselen,to exchange,[]
30,elektricien,electrician,['n']
31,huichelen,hypocrite,['n']
32,ondersteboven,upside down,[]
33,terugtrekken,to withdraw,[]
34,bepakken,packing,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
35,opdienen,serve,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
36,doorzien,see through,[]
37,binnenbrengen,bring in,[]
38,pennen,pens,"['n', 'n', 'n', 'n', 'n', 'v']"
39,spieken,cheating,"['n', 'v', 'v', 'v', 'v', 's', 's']"
40,aanbrengen,apply,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
41,stukgooien,smash to pieces,[]
42,spuwen,spit,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
43,waarderen,appreciate,"['v', 'v', 'v', 'v', 'v']"
44,schoen,shoe,"['n', 'n', 'n', 'n', 'v']"
45,vastbinden,to tie,[]
46,opbakken,fry up,[]
47,goedmorgen,good morning,[]
48,afmeren,mooring,"['n', 'n', 'v', 'v', 'v']"
49,oppiepen,paging,"['n', 'n', 'v', 'v', 'v']"
50,prijsschieten,prize shooting,[]
51,zwemkampioen,swimming champion,[]
52,opgeven,give up,[]
53,vergisten,ferment,"['n', 'n', 'n', 'v', 'v', 'v', 'v']"
54,evergreen,evergreen,"['n', 'a']"
55,verslepen,drag,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
56,ontheiligen,desecrate,"['v', 'v']"
57,terughebben,have back,[]
58,hinderen,hinder,"['v', 'v', 'v', 's', 's']"
59,krabbelen,scribble,"['n', 'n', 'v', 'v']"
60,rechttrekken,straightening,"['v', 'v', 'v', 'v', 'v', 'v']"
61,herenigen,reunite,"['v', 'v']"
62,bijkomen,recover,"['v', 'v', 'v', 'v', 'v', 'v']"
63,naspelen,reenact,"['v', 'v', 'v']"
64,achterhouden,withhold,"['v', 'v']"
65,perforeren,perforating,"['v', 'v']"
66,uitkiezen,choose,"['v', 'v', 'v']"
67,kwijlen,drooling,"['v', 'v']"
68,weghalen,take away,[]
69,labelen,tagging,"['v', 'v', 'v', 'v', 'v']"
70,wroeten,rooting,"['n', 'v', 'v', 'v', 'v', 'v', 'v']"
71,kluisteren,chain,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v']"
72,snoeven,boast,"['n', 'v', 'v']"
73,vrachtwagen,truck,"['n', 'n', 'v']"
74,kruisen,crosses,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
75,afknappen,turn off,[]
76,bubbelen,bubbling,"['v', 'v', 'v', 'v', 'v', 's', 's']"
77,klaveren,clubs,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
78,overdrijven,exaggerate,"['v', 'v']"
79,wegkijken,look away,[]
80,sluiten,Close,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'a', 'a', 'a', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 'r', 'r']"
81,loslopen,run loose,[]
82,ontmaskeren,unmask,"['v', 'v']"
83,uitdenken,think out,[]
84,uittrekken,pull out,[]
85,symboliseren,symbolize,"['v', 'v']"
86,devalueren,devalue,"['v', 'v', 'v']"
87,schepen,ships,"['n', 'v', 'v', 'v', 'v', 'v']"
88,vervolgen,continue,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
89,kindsbeen,childhood,"['n', 'n']"
90,draagvermogen,load capacity,[]
91,kwaken,croak,"['n', 'v', 'v', 'v']"
92,drinken,drink,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
93,hertrouwen,remarriage,['n']
94,trouwen,Marry,"['v', 'v']"
95,pureren,puree,"['n', 'v']"
96,zwemmen,swimming,"['n', 'v', 'v', 'v', 'v', 'v', 's', 's']"
97,bijdraaien,turn around,[]
98,viseren,target,"['n', 'n', 'n', 'n', 'n', 'v']"
99,heruitvinden,reinventing,"['v', 'v']"
100,vervoegen,conjugate,"['n', 'v', 'v', 'v', 's', 's', 's', 's']"
101,kiften,wrangle,"['n', 'n', 'v', 'v']"
102,circuleren,circulate,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
103,ondersteunen,support,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
104,geheugen,memory,"['n', 'n', 'n', 'n', 'n']"
105,roken,to smoke,[]
106,optutten,dress up,[]
107,inhuren,hire,"['n', 'n', 'v', 'v', 'v']"
108,verergeren,worsen,"['v', 'v']"
109,kleven,stick,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
110,boezemen,to inspire,[]
111,verwoesten,devastate,"['v', 'v']"
112,ingevroren,frozen,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'a', 's', 's', 's', 's', 's', 's']"
113,litteken,scar,"['n', 'n', 'v']"
114,bevelen,command,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
115,frunniken,fiddling,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 's']"
116,langslopen,to walk by,[]
117,overblijven,remain,"['v', 'v', 'v', 'v']"
118,deinzen,flinch,"['n', 'v']"
119,roepen,call,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
120,schreeuwen,shout,"['n', 'v', 'v', 'v', 'v']"
121,omgeven,surrounded,"['v', 'v', 'v', 'v', 's']"
122,bezitten,to own,[]
123,inblikken,canning,"['v', 'v']"
124,treden,steps,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
125,districtskampioen,district champion,[]
126,berichten,messages,"['n', 'n', 'v', 'v', 'v']"
127,goochelen,juggling,"['n', 'n', 'v', 'v', 'v', 'v', 'v']"
128,verstellen,adjust,"['v', 'v', 'v', 'v', 'v']"
129,stippen,dots,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
130,gewennen,get used to,[]
131,ontwarren,untangle,"['v', 'v']"
132,krabben,scratch,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
133,overtreden,violate,"['v', 'v', 'v', 'v', 'v', 'v']"
134,panikeren,panic,"['n', 'n', 'v', 'v']"
135,uitlachen,laugh at,[]
136,leegmaken,to empty,[]
137,postjongen,mailboy,[]
138,visualiseren,visualize,"['v', 'v', 'v', 'v']"
139,noorden,north,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'a', 'r']"
140,haren,hair,"['n', 'n', 'n', 'n', 'n', 'n']"
141,coveren,cover,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
142,opkuisen,clean up,[]
143,kelen,throats,"['n', 'n', 'n', 'n']"
144,pauzeren,pause,"['n', 'n', 'v', 'v']"
145,hallucineren,hallucinate,['v']
146,aanvliegen,fly in,[]
147,weergeven,view,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
148,begiftigen,endow,"['v', 'v']"
149,vestigen,settle,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
150,vieren,to celebrate,[]
151,afgrendelen,lock off,[]
152,navolgen,follow,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
153,watertanden,salivating,"['v', 'v']"
154,afwikkelen,unwind,"['v', 'v', 'v', 'v']"
155,wegdrijven,drift away,[]
